Country,Capital,Latitude,Longitude
Afghanistan,Kabul,34.47,69.18
Albania,Tirane,41.3,19.82
Algeria,Algiers,36.7,3.13
American Samoa,Pago Pago,-14.27,-170.72
Andorra,Andorra la Vella,42.52,1.53
Angola,Luanda,-8.83,13.25
Antigua and Barbuda,West Indies,17.33,-61.8
Argentina,Buenos Aires,-36.5,-60.0
Armenia,Yerevan,40.17,44.52
Aruba,Oranjestad,12.53,-70.03
Australia,Canberra,-35.25,149.13
Austria,Vienna,48.2,16.37
Azerbaijan,Baku,40.48,49.93
Bahamas,Nassau,25.08,-77.33
Bahrain,Manama,26.17,50.5
Bangladesh,Dhaka,23.72,90.43
Barbados,Bridgetown,13.08,-59.5
Belarus,Minsk,53.87,27.5
Belgium,Brussels,50.85,4.35
Belize,Belmopan,17.3,-88.5
Benin,Porto Novo (constitutional) / Cotonou (seat of government),6.38,2.7
Bhutan,Thimphu,27.52,89.75
Bolivia,La Paz (administrative) / Sucre (legislative),-16.33,-68.17
Bosnia and Herzegovina,Sarajevo,43.87,18.43
Botswana,Gaborone,-24.75,25.95
Brazil,Brasilia,-15.78,-47.92
British Virgin Islands,Road Town,18.45,-64.62
Brunei Darussalam,Bandar Seri Begawan,4.87,115.0
Bulgaria,Sofia,42.75,23.33
Burkina Faso,Ouagadougou,12.25,-1.5
Burundi,Bujumbura,-3.27,29.3
Cambodia,Phnom Penh,11.55,104.92
Cameroon,Yaounde,3.83,11.58
Canada,Ottawa,45.45,-75.7
Cape Verde,Praia,15.03,-23.57
Cayman Islands,George Town,19.33,-81.4
Central African Republic,Bangui,4.38,18.58
Chad,N'Djamena,12.17,14.98
Chile,Santiago,-33.4,-70.67
China,Beijing,39.92,116.33
Colombia,Bogota,4.57,-74.0
Comros,Moroni,-11.67,43.27
Congo,Brazzaville,-4.15,15.2
Costa Rica,San Jose,9.92,-84.03
Cote d'Ivoire,Yamoussoukro,6.82,-5.28
Croatia,Zagreb,45.83,15.97
Cuba,Havana,23.13,-82.37
Cyprus,Nicosia,35.17,33.42
Czech Republic,Prague,50.08,14.37
Democratic Republic of the Congo,Kinshasa,-4.33,15.25
Denmark,Copenhagen,55.68,12.57
Djibouti,Djibouti,11.13,42.33
Dominica,Roseau,15.33,-61.4
Dominican Republic,Santo Domingo,18.5,-69.98
East Timor,Dili,-8.48,125.57
Ecuador,Quito,-0.25,-78.58
Egypt,Cairo,30.02,31.23
El Salvador,San Salvador,13.67,-89.17
Equatorial Guinea,Malabo,3.75,8.83
Eritrea,Asmara,15.32,38.92
Estonia,Tallinn,59.37,24.8
Ethiopia,Addis Ababa,9.03,38.7
Falkland Islands (Malvinas),Stanley,-51.67,-59.85
Faroe Islands,Torshavn,62.08,-6.93
Fiji,Suva,-18.1,178.5
Finland,Helsinki,60.25,25.05
France,Paris,48.83,2.33
French Guiana,Cayenne,5.08,-52.3
French Polynesia,Papeete,-17.53,-149.57
Gabon,Libreville,0.42,9.43
Gambia,Banjul,13.47,-16.67
Georgia,T'bilisi,41.72,44.83
Germany,Berlin,52.5,13.42
Ghana,Accra,5.58,-0.1
Greece,Athens,37.97,23.77
Greenland,Nuuk,64.17,-51.58
Guadeloupe,Basse-Terre,16.0,-61.73
Guatemala,Guatemala,14.67,-90.37
Guernsey,St. Peter Port,49.43,-2.55
Guinea,Conakry,9.48,-13.82
Guinea-Bissau,Bissau,11.75,-15.75
Guyana,Georgetown,6.83,-58.2
Haiti,Port-au-Prince,18.67,-72.33
Hawaii,Honolulu,21.3,-157.78
Heard Island and McDonald Islands,,53.0,74.0
Honduras,Tegucigalpa,14.08,-87.23
Hungary,Budapest,47.48,19.08
Iceland,Reykjavik,64.17,-21.95
India,New Delhi,28.62,77.22
Indonesia,Jakarta,-6.15,106.82
Iran (Islamic Republic of),Tehran,35.73,51.5
Iran,Tehran,35.6892,51.389
Iraq,Baghdad,33.33,44.5
Ireland,Dublin,53.35,-6.25
Israel,Jerusalem,31.71,35.17
Italy,Rome,41.9,12.48
Jamaica,Kingston,18.0,-76.83
Japan,Tokyo,35.67,139.75
Jordan,Amman,31.95,35.87
Kazakhstan,Astana,51.17,71.5
Kenya,Nairobi,-1.28,36.8
Kiribati,Tarawa,1.5,173.0
Kuwait,Kuwait,29.5,48.0
Kyrgyzstan,Bishkek,42.9,74.77
Lao People's Democratic Republic,Vientiane,17.97,102.6
Latvia,Riga,56.88,24.13
Lebanon,Beirut,33.88,35.52
Lesotho,Maseru,-29.3,27.5
Liberia,Monrovia,6.3,-10.78
Libyan Arab Jamahiriya,Tripoli,32.82,13.12
Liechtenstein,Vaduz,47.13,9.52
Lithuania,Vilnius,54.63,25.32
Luxembourg,Luxembourg,49.62,6.15
"Macao, China",Macau,22.2,113.55
Madagascar,Antananarivo,-18.92,47.52
Macedonia (Former Yugoslav Republic),Skopje,42.02,21.43
Malawi,Lilongwe,-14.0,33.8
Malaysia,Kuala Lumpur,3.15,101.68
Maldives,Male,4.0,73.47
Mali,Bamako,12.57,-7.92
Malta,Valletta,35.9,14.52
Martinique,Fort-de-France,14.6,-61.03
Mauritania,Nouakchott,20.17,-57.5
Mayotte,Mamoudzou,-12.8,45.23
Mexico,Mexico,19.33,-99.17
Micronesia (Federated States of),Palikir,6.92,158.15
"Moldova, Republic of",Chisinau,47.03,28.83
Mozambique,Maputo,-25.97,32.53
Myanmar,Yangon,16.75,96.33
Namibia,Windhoek,-22.58,17.07
Nepal,Kathmandu,27.75,85.33
Netherlands,Amsterdam / The Hague (seat of Government),52.38,4.9
Netherlands Antilles,Willemstad,12.08,-69.0
New Caledonia,Noumea,-22.28,166.5
New Zealand,Wellington,-41.32,174.77
Nicaragua,Managua,12.1,-86.33
